tic,Tmag,Teff,rad,sde,period,t0,depth_ppm,duration_hr,n_transits,rp_earth,oddeven_sigma,secondary_sigma,verdict
158237409,12.3714,3414.0,0.227683,5.29,6.63828,4184.48021,2609.4,0.72,3,1.27,0.38,-0.33,no_signal
200230413,11.98,3063.0,0.23142,5.38,0.80438,4180.17677,370.2,3.6,29,0.49,1.0,0.65,no_signal
314671211,11.9659,3199.0,0.232039,15.56,0.63344,4179.57433,2141.5,2.38,37,1.17,0.35,10.7,eclipsing_binary_secondary
254191477,12.8372,3269.0,0.232259,5.41,4.52198,4181.14595,3571.6,0.72,6,1.52,0.19,0.91,no_signal
325275978,12.534,3318.0,0.232651,5.87,8.63645,4185.50627,2993.4,0.72,3,1.39,0.69,1.06,no_signal
320202927,12.593,3438.0,0.233931,5.72,8.128,4181.29548,2986.8,0.72,3,1.4,0.32,1.96,no_signal
412050326,13.162,3110.0,0.233997,25.87,0.58813,4180.42831,2613.3,3.6,39,1.31,1.28,-3.38,CANDIDATE
100908289,12.9583,3284.0,0.235096,4.95,2.24442,4180.64915,2594.1,0.72,10,1.31,2.09,0.77,no_signal
129764950,13.0447,2945.0,0.235647,20.17,0.67657,4180.02644,8860.2,2.38,34,2.42,0.1,-17.79,CANDIDATE
123366965,9.84507,3406.0,0.237209,4.16,7.97737,4179.99126,513.9,0.72,4,0.59,1.31,0.5,no_signal
118271813,12.2806,3201.0,0.239004,5.35,0.50688,4179.60026,743.6,3.6,45,0.71,0.13,-4.62,no_signal
318606698,11.7012,3197.0,0.239498,3.36,12.08779,4179.70985,1925.5,0.72,2,1.15,0.0,0.45,no_signal
140478472,12.4053,3078.0,0.239871,17.67,0.77126,4180.5479,5086.4,3.6,29,1.87,0.76,20.27,eclipsing_binary_secondary
155895287,13.4963,3067.0,0.241309,15.03,0.70844,4179.82981,3374.5,3.6,32,1.53,0.93,-4.69,CANDIDATE
312268349,13.0382,3205.0,0.242191,3.91,6.50578,4185.03091,53872.5,0.72,2,6.14,5.89,-0.39,no_signal
111289424,12.7295,3269.0,0.242516,4.15,11.83903,4191.0283,2880.0,3.6,2,1.42,0.47,-0.49,no_signal
425937008,13.5995,3100.0,0.24257,12.1,0.92095,4180.32963,1816.9,3.6,24,1.13,0.23,6.24,eclipsing_binary_secondary
351471282,13.1005,3301.0,0.243684,5.31,12.50718,4179.52468,9821.3,0.72,2,2.64,0.0,1.22,no_signal
197949763,12.8101,3269.0,0.243939,5.96,9.23084,4181.48701,3405.1,0.72,3,1.55,0.04,0.47,no_signal
340794574,13.4896,3185.0,0.244183,5.0,1.4119,4180.94973,1762.6,1.44,16,1.12,0.55,0.85,no_signal
406026016,12.7638,3362.0,0.244484,4.25,6.5064,4185.02952,14254.2,0.72,1,3.19,0.0,-2.02,no_signal
421985503,13.8114,3129.0,0.244669,20.52,0.81407,4179.82589,4269.3,3.6,27,1.75,0.09,5.34,eclipsing_binary_secondary
80166567,12.0259,3185.0,0.244702,6.88,9.47085,4179.70536,2144.8,1.44,3,1.24,0.65,-1.29,no_signal
345083618,12.9335,3532.0,0.245034,6.38,1.94254,4179.42084,2165.1,0.72,12,1.25,0.2,0.23,no_signal
120550089,12.7157,3246.0,0.245428,5.41,0.74751,4179.94068,648.4,1.44,30,0.68,1.22,-0.27,no_signal
229152539,10.9181,3155.0,0.24616,6.05,2.06441,4181.45356,586.6,0.72,11,0.65,0.18,-0.44,no_signal
370239521,13.7241,4130.0,0.246691,7.12,3.89821,4179.95566,5703.0,0.72,6,2.03,0.96,0.9,no_signal
281780792,12.8686,3179.0,0.247207,12.05,0.69688,4179.89317,776.4,3.6,34,0.75,0.02,-2.6,CANDIDATE
352434523,11.4054,3347.0,0.247285,5.26,5.45919,4183.50926,1134.5,0.72,4,0.91,1.98,0.67,no_signal
129138718,11.7147,3141.0,0.247619,4.82,5.0248,4183.6291,1734.2,0.72,4,1.13,0.69,0.2,no_signal
351339273,10.394,3352.0,0.247981,3.17,11.76091,4191.28993,22795.7,1.44,2,4.09,0.0,-0.7,no_signal
62301042,13.1244,3305.0,0.248513,3.68,6.50421,4185.0277,26133.5,0.72,1,4.39,0.0,0.15,no_signal
277751234,13.4223,3090.0,0.248673,13.02,0.515,4180.07198,1048.0,3.6,42,0.88,1.46,-2.7,CANDIDATE
234548444,13.7892,2970.0,0.248919,6.2,1.36033,4179.90355,6635.0,3.6,18,2.21,0.24,0.67,no_signal
100606049,12.694,3232.0,0.249059,4.99,1.08251,4180.58967,1706.8,0.72,20,1.12,0.4,-0.5,no_signal
206617113,12.8193,3204.0,0.249955,14.91,0.97907,4180.09356,5907.7,3.6,24,2.1,0.65,19.69,eclipsing_binary_secondary
201226029,13.5421,2948.0,0.250931,13.29,0.9147,4180.07665,2759.0,3.6,25,1.44,1.72,-3.04,CANDIDATE
74185907,12.1147,3185.0,0.251972,5.3,2.15223,4180.76075,1507.2,0.72,11,1.07,1.22,0.99,no_signal
142216895,11.956,3315.0,0.25224,14.92,0.95407,4180.51041,1644.2,3.6,24,1.12,1.57,14.72,eclipsing_binary_secondary
23482015,13.238,3192.0,0.252323,7.14,5.78794,4179.70888,6413.7,1.44,4,2.21,2.2,-1.09,no_signal
219119821,12.9204,3261.0,0.252522,7.5,3.80071,4181.95081,2862.5,0.72,6,1.48,0.21,0.69,no_signal
363231583,13.1864,3151.0,0.253389,4.77,6.52421,4185.03108,31704.7,0.72,2,4.93,1.87,-1.23,no_signal
100327960,13.0015,3144.0,0.253553,28.0,0.56781,4179.95675,17751.8,2.38,38,3.69,0.63,26.0,eclipsing_binary_secondary
234997090,13.433,3004.0,0.254714,21.94,0.59438,4180.14316,2435.2,3.6,38,1.37,2.0,7.89,eclipsing_binary_secondary
265465650,11.9061,3363.0,0.255799,8.54,1.52878,4180.21714,1159.6,0.72,15,0.95,0.06,-0.62,CANDIDATE
314017913,12.5798,3303.0,0.255846,4.43,12.27811,4179.78051,2061.9,2.38,2,1.27,0.0,0.45,no_signal
139200489,10.9498,3144.0,0.256279,5.56,7.32173,4179.85202,965.0,0.72,4,0.87,1.64,-0.75,no_signal
234495456,13.2152,2974.0,0.256405,21.07,0.76157,4180.10387,5344.8,3.6,30,2.05,0.36,18.99,eclipsing_binary_secondary
49593799,11.3929,3229.0,0.257079,3.61,10.68275,4183.09637,1516.9,1.44,3,1.09,1.64,-3.84,no_signal
61089321,12.522,3317.0,0.257858,5.97,10.52338,4183.16117,3293.9,0.72,3,1.62,1.37,0.02,no_signal
308210382,12.9014,3350.0,0.258064,3.52,8.78052,4186.94319,18145.6,0.72,3,3.8,8.96,-0.95,no_signal
352289599,12.0154,3387.0,0.259326,8.27,5.84701,4181.14363,2234.8,0.72,4,1.34,0.28,-0.67,CANDIDATE
321908537,12.8424,3307.0,0.260913,5.76,9.9493,4183.11244,4103.1,0.72,3,1.83,2.67,-0.74,no_signal
115347396,11.7741,3244.0,0.260943,5.93,9.05896,4184.38654,1192.8,1.44,3,0.98,0.54,-1.43,no_signal
291193946,12.513,3179.0,0.261129,5.6,5.26168,4179.88619,2703.8,0.72,5,1.48,0.8,-1.22,no_signal
206542524,11.2839,3168.0,0.262297,6.36,0.83345,4180.41435,12209.9,3.6,26,3.16,0.19,-12.58,no_signal
156065212,12.9067,3362.0,0.262456,4.52,9.08084,4180.36134,3499.6,0.72,3,1.7,0.63,-0.36,no_signal
120395704,10.1499,3180.0,0.262841,7.78,8.57676,4187.39031,948.2,0.72,3,0.88,0.16,-0.66,no_signal
262818859,13.4206,3024.0,0.26342,11.03,0.96689,4180.59517,1968.1,3.6,24,1.28,0.34,0.67,CANDIDATE
394481268,10.305,3335.0,0.26461,5.55,2.32005,4179.70135,443.0,0.72,9,0.61,1.73,-0.42,no_signal
158565951,13.259,3262.0,0.264825,3.47,12.02279,4191.03824,19003.2,2.38,2,3.99,1.59,1.13,no_signal
139722169,12.291,3251.0,0.26602,17.43,0.94439,4179.71141,2816.8,2.38,25,1.54,0.43,19.18,eclipsing_binary_secondary
339832054,12.3719,3228.0,0.266547,5.26,1.21283,4180.18791,728.4,2.38,18,0.79,0.07,1.04,no_signal
229142295,11.1831,3131.0,0.266614,17.75,0.86688,4180.16303,2628.1,3.6,26,1.49,1.71,21.55,eclipsing_binary_secondary
158596048,11.6933,3401.0,0.267044,5.25,6.22139,4181.07214,1575.7,0.72,3,1.16,0.72,0.64,no_signal
129740271,13.8452,3202.0,0.267444,5.66,7.74393,4180.18951,6895.4,0.72,4,2.43,0.14,0.41,no_signal
165901998,13.1926,3078.0,0.267947,13.54,0.54344,4180.16869,1974.9,1.44,39,1.3,1.56,5.92,eclipsing_binary_secondary
66410455,12.6447,3271.0,0.268407,8.03,0.93845,4180.28663,990.3,1.44,22,0.92,0.87,-0.13,CANDIDATE
387195222,12.8597,3322.0,0.268432,5.14,12.48436,4179.55183,6054.8,0.72,2,2.28,0.0,0.69,no_signal
246807853,11.5796,3293.0,0.269035,5.28,2.18598,4180.41688,912.0,0.72,10,0.89,0.62,0.43,no_signal
87534972,13.2877,3215.0,0.269122,5.68,12.30686,4183.89616,9238.6,1.44,2,2.82,0.3,0.24,no_signal
381920488,12.9212,3313.0,0.271441,6.71,0.60469,4179.33892,1105.6,1.44,37,0.99,0.78,3.2,no_signal
32396533,12.8987,3435.0,0.272506,6.51,0.82876,4179.96922,1238.6,0.72,26,1.05,0.16,1.79,no_signal
469869546,13.2676,3371.0,0.272611,6.21,7.05923,4180.52134,5227.7,0.72,4,2.15,0.25,-1.38,no_signal
100504104,12.731,3251.0,0.272986,4.87,12.50999,4179.51874,6258.4,0.72,2,2.36,0.0,0.1,no_signal
350190949,13.9495,3361.0,0.273103,5.62,5.90701,4180.61577,6225.3,0.72,4,2.35,0.87,-0.42,no_signal
387267717,13.632,3288.0,0.273377,5.42,3.29319,4179.70182,3583.2,0.72,7,1.79,0.78,1.4,no_signal
161267354,13.6546,3166.0,0.273486,13.77,0.58781,4179.74249,1134.9,3.6,40,1.01,0.37,-2.91,CANDIDATE
32432955,12.762,3117.0,0.273494,4.52,11.23183,4186.94403,4659.8,1.44,2,2.04,1.21,-2.69,no_signal
316216275,13.7915,3288.0,0.274653,4.5,1.24346,4179.16244,4879.8,0.72,19,2.1,1.18,-0.03,no_signal
95856072,13.7854,3303.0,0.274765,4.31,6.52453,4185.03451,104150.0,0.72,2,9.68,5.95,1.28,no_signal
237880881,13.4739,2956.0,0.274847,24.21,0.70376,4180.16074,12319.6,3.6,32,3.33,0.62,25.1,eclipsing_binary_secondary
456618376,12.3981,3258.0,0.27489,4.63,0.55219,4179.68669,455.2,2.38,41,0.64,0.07,1.01,no_signal
355650616,12.9882,3267.0,0.275048,13.71,0.96564,4180.19864,1951.2,3.6,24,1.33,0.74,12.73,eclipsing_binary_secondary
268813663,11.7477,3332.0,0.276053,5.04,6.47702,4185.02711,2264.3,0.72,2,1.43,0.07,-0.19,no_signal
341364194,12.3384,3307.0,0.276162,7.42,5.25449,4184.68733,2279.8,0.72,4,1.44,0.58,0.21,no_signal
100100909,13.167,2877.0,0.276574,19.52,0.53781,4180.18127,1987.9,2.38,42,1.35,0.08,-7.99,CANDIDATE
129740457,12.494,3091.0,0.277166,4.11,10.57181,4180.30816,2619.1,3.6,3,1.55,3.04,0.32,no_signal
231828950,13.2583,3047.0,0.278478,25.84,0.61157,4179.94298,2138.8,3.6,38,1.41,0.63,-1.02,CANDIDATE
219319398,12.3698,3188.0,0.278511,4.43,4.02884,4181.15588,1765.8,0.72,5,1.28,0.52,0.15,no_signal
360916373,13.4255,3237.0,0.278706,4.86,12.06279,4190.29058,6232.4,0.72,2,2.4,0.02,0.92,no_signal
466207657,12.9493,3361.0,0.279163,5.87,3.45664,4180.1567,2165.5,0.72,8,1.42,0.16,0.23,no_signal
79020913,10.7036,3273.0,0.279322,4.17,12.50374,4179.53932,1708.9,1.44,2,1.26,0.0,-1.56,no_signal
38820496,13.2972,3013.0,0.279345,27.17,0.65532,4179.78351,25592.4,2.38,34,4.88,0.52,12.31,eclipsing_binary_secondary
161264659,12.5451,3349.0,0.280259,7.5,5.60575,4181.13945,2977.9,0.72,4,1.67,0.31,1.42,no_signal
166578538,12.5346,3382.0,0.281114,3.89,11.6159,4179.80708,26661.7,1.44,2,5.01,0.0,1.11,no_signal
234497476,13.1658,3049.0,0.281191,8.3,1.04501,4180.31614,2038.9,3.6,21,1.39,1.35,-2.57,CANDIDATE
61727261,13.5344,3359.0,0.281314,4.22,10.80401,4182.92486,7047.3,0.72,3,2.58,0.49,-1.16,no_signal
67649637,12.7408,3112.0,0.281363,5.9,5.11324,4179.96964,2718.2,0.72,5,1.6,0.86,0.87,no_signal
100414663,13.5884,3250.0,0.281785,5.91,2.90787,4181.74386,4617.7,0.72,7,2.09,1.06,0.66,no_signal
281573574,12.9266,3231.0,0.281838,16.21,0.9372,4180.57146,2508.7,3.6,25,1.54,0.14,13.26,eclipsing_binary_secondary
281779297,13.1103,3072.0,0.281865,19.54,0.79001,4180.08996,4542.4,3.6,29,2.07,0.09,20.34,eclipsing_binary_secondary
158637035,12.8948,3186.0,0.281879,8.7,0.68688,4180.30762,542.7,3.6,32,0.72,0.51,0.1,CANDIDATE
91638342,12.3305,3191.0,0.282194,6.63,10.77901,4180.21054,2665.6,0.72,3,1.59,0.31,-0.51,no_signal
144325359,11.1574,3371.0,0.282349,6.54,5.09574,4180.58335,937.4,0.72,5,0.94,0.66,-1.11,no_signal
41862482,12.3514,3143.0,0.282368,4.54,6.51859,4179.91406,3474.7,0.72,3,1.82,3.0,-0.1,no_signal
322051865,12.6871,3274.0,0.285317,7.98,2.18473,4181.20266,1888.5,0.72,10,1.35,1.17,0.61,no_signal
220347029,12.95,3353.0,0.286277,5.34,5.79794,4181.05365,2921.3,0.72,4,1.69,1.25,0.02,no_signal
350215424,13.2016,3019.0,0.28648,28.45,0.52281,4179.88637,6366.6,2.38,44,2.5,1.24,15.46,eclipsing_binary_secondary
410344317,12.1033,3258.0,0.286488,5.87,0.82032,4180.24757,787.0,0.72,27,0.88,2.25,0.52,no_signal
6408097,12.8275,3508.0,0.287322,5.02,7.97456,4179.97865,3588.7,0.72,4,1.88,0.15,0.57,no_signal
231055581,9.26953,3284.0,0.287941,5.14,10.74651,4180.0867,545.7,0.72,3,0.73,0.98,-1.94,no_signal
219315573,11.5563,3322.0,0.288872,5.28,2.49036,4180.48414,854.6,0.72,9,0.92,0.86,0.09,no_signal
120248356,12.895,3214.0,0.289387,6.18,5.16105,4183.19599,3725.8,0.72,4,1.93,1.8,0.92,no_signal
354605294,11.969,3553.0,0.289491,5.75,1.49159,4181.01157,792.3,0.72,14,0.89,0.88,0.51,no_signal
61894353,13.9939,3174.0,0.290727,3.64,11.25433,4179.93082,18148.6,1.44,2,4.28,0.0,1.17,no_signal
11637549,12.754,3265.0,0.290812,7.85,3.04319,4181.53687,2423.3,0.72,8,1.56,0.52,-1.13,no_signal
406173242,13.5876,2946.0,0.291089,18.35,0.69,4180.01209,5258.1,2.38,34,2.3,0.92,-13.38,CANDIDATE
237320519,12.526,3308.0,0.291115,5.96,12.78031,4180.77162,3389.9,1.44,2,1.85,1.83,-0.28,no_signal
281779461,13.5956,3387.0,0.291259,2.69,12.13498,4181.07512,57418.2,0.72,2,7.62,12.13,-0.06,no_signal
75160399,8.36522,3386.0,0.291681,2.81,6.51296,4185.03282,21098.9,0.72,2,4.63,12.03,-0.11,no_signal
341461092,13.3158,3231.0,0.292173,15.03,0.54375,4180.02396,1603.2,3.6,41,1.28,5.68,-4.38,eclipsing_binary_oddeven
79491341,12.4307,3281.0,0.292741,4.18,6.92672,4184.34892,3626.8,0.72,2,1.93,0.0,0.34,no_signal
173056702,13.8252,3332.0,0.293595,4.72,1.83035,4180.83449,9137.5,1.44,13,3.06,1.04,0.73,no_signal
281461138,13.0153,3036.0,0.293752,28.64,0.65125,4180.08072,11438.4,3.6,35,3.43,1.04,2.22,CANDIDATE
142350859,13.6657,3145.0,0.294103,6.54,1.4594,4180.41729,2707.2,0.72,16,1.67,0.56,1.5,no_signal
79248089,12.7121,3271.0,0.295059,5.68,5.01949,4184.21617,2738.2,0.72,5,1.69,0.66,-1.16,no_signal
143894194,13.8764,3201.0,0.295348,22.63,0.70001,4180.15777,4875.4,3.6,32,2.25,0.57,12.24,eclipsing_binary_secondary
129766762,12.2222,3323.0,0.29542,6.18,3.44414,4181.31954,1712.8,0.72,6,1.34,1.05,1.23,no_signal
406321123,11.3217,3308.0,0.295684,5.57,8.36457,4181.69771,1511.3,0.72,3,1.26,0.02,-0.18,no_signal
166283631,12.3397,3351.0,0.295793,9.2,0.62563,4180.13447,883.6,0.72,37,0.96,0.37,2.65,CANDIDATE
101947957,12.4561,3273.0,0.296919,6.49,0.78563,4180.13302,556.5,1.44,29,0.76,0.83,-0.36,no_signal
79952399,12.6452,3280.0,0.298788,10.42,0.71094,4179.72045,669.3,3.6,33,0.84,0.15,1.61,CANDIDATE
281599277,12.9901,3340.0,0.2995,5.71,3.09225,4181.36398,2516.0,0.72,8,1.64,1.62,1.32,no_signal
161223769,12.9578,3466.0,0.300618,4.87,11.31808,4179.69179,5377.9,0.72,3,2.41,1.45,-0.53,no_signal
232064182,11.8155,3272.0,0.301026,10.68,0.72063,4180.70509,1030.4,2.38,32,1.06,2.55,1.37,CANDIDATE
322053216,11.5466,3284.0,0.301884,3.03,12.21529,4180.13461,1932.8,2.38,2,1.45,0.0,1.24,no_signal
382914770,13.1216,3421.0,0.302308,5.11,6.5789,4184.89378,878533.5,0.72,1,30.94,0.0,-0.88,no_signal
331754686,10.7082,3410.0,0.302742,3.62,12.41905,4179.68617,1728.7,0.72,2,1.37,0.0,0.27,no_signal
396910296,12.9107,3383.0,0.303092,5.77,3.31351,4181.26625,2396.2,1.44,7,1.62,1.3,0.83,no_signal
49594649,12.8308,3362.0,0.304188,6.86,1.93222,4181.50893,1895.7,0.72,10,1.45,1.15,0.75,no_signal
396169532,12.5484,3371.0,0.304279,5.83,3.10975,4180.85099,1961.2,0.72,7,1.47,0.84,0.15,no_signal
360912453,13.0492,3089.0,0.30462,18.83,0.87938,4180.37091,3216.1,3.6,26,1.89,0.66,13.49,eclipsing_binary_secondary
143999207,12.7561,3214.0,0.304887,6.53,5.09761,4184.12175,2604.6,0.72,5,1.7,1.27,0.54,no_signal
101513787,12.8527,3317.0,0.304938,4.26,6.5064,4185.02714,21835.2,0.72,1,4.92,0.0,-0.09,no_signal
229092385,12.722,3438.0,0.304952,5.96,6.28764,4185.24042,3149.9,0.72,3,1.87,0.31,-1.2,no_signal
101507892,12.8414,3350.0,0.305541,6.69,9.29241,4179.95708,2900.3,1.44,3,1.8,0.22,0.97,no_signal
102028926,12.8745,3293.0,0.305753,3.34,12.28154,4179.97843,26601.0,1.44,2,5.45,0.0,0.23,no_signal
469972882,12.7634,3461.0,0.306135,5.46,3.16007,4181.44493,1706.3,0.72,8,1.38,0.4,1.58,no_signal
158442595,11.7009,3143.0,0.306146,19.37,0.71282,4179.78683,4774.9,3.6,31,2.31,0.19,22.56,eclipsing_binary_secondary
325220064,11.726,3250.0,0.306221,4.95,3.66945,4181.29872,1332.4,0.72,5,1.22,1.24,0.63,no_signal
253807090,12.2803,3212.0,0.30626,6.53,0.82063,4179.12986,1195.9,0.72,28,1.16,0.3,1.28,no_signal
341116983,11.1946,3284.0,0.306745,5.22,12.46811,4191.96097,2598.7,2.38,2,1.71,0.0,-1.92,no_signal
197978113,12.2568,3325.0,0.306965,6.53,0.83282,4180.40994,884.2,0.72,26,1.0,0.3,-0.86,no_signal
33525681,12.7768,3229.0,0.307079,6.73,2.94756,4182.82348,2370.1,0.72,7,1.63,0.12,-1.48,no_signal
79273999,12.6552,3403.0,0.307906,3.61,12.49655,4179.54193,17105.2,1.44,2,4.4,0.0,-1.15,no_signal
7222629,11.8381,3424.0,0.308242,6.35,3.23288,4181.32285,1187.6,0.72,7,1.16,0.3,0.35,no_signal
371796478,12.5799,3286.0,0.308791,4.93,9.02865,4184.40566,3527.7,0.72,2,2.0,0.0,-2.19,no_signal
111368201,13.8012,3326.0,0.309322,6.46,5.60888,4182.06846,14933.4,1.44,4,4.13,0.98,-0.32,no_signal
237883772,13.0906,3142.0,0.31015,16.36,0.84845,4179.73868,4233.7,3.6,28,2.2,0.66,14.88,eclipsing_binary_secondary
231888176,10.8214,3366.0,0.310152,3.5,8.35863,4185.01394,6463.5,1.44,2,2.72,0.0,3.03,no_signal
116880298,11.2215,3610.0,0.310208,6.11,4.55729,4179.9195,964.2,0.72,5,1.05,0.35,0.37,no_signal
229147247,12.8488,2950.0,0.310228,24.42,0.58594,4180.56782,5270.6,3.6,37,2.46,0.68,25.61,eclipsing_binary_secondary
161334513,12.8523,3435.0,0.310913,5.67,5.53419,4183.05927,2999.0,0.72,4,1.86,0.9,0.39,no_signal
111267570,12.0632,3276.0,0.311473,3.4,12.29186,4179.93747,97228.7,1.44,2,10.61,0.0,-1.06,no_signal
7220124,12.0491,3454.0,0.311517,6.97,2.43724,4182.36904,1105.7,0.72,10,1.13,1.27,-0.41,no_signal
234299628,10.7205,3380.0,0.312106,6.14,8.08019,4181.34598,1004.6,0.72,3,1.08,0.58,1.23,no_signal
341309168,12.839,3230.0,0.31283,6.14,3.24788,4179.86636,2286.2,0.72,7,1.63,0.03,-0.98,no_signal
311410850,13.6221,3255.0,0.312975,3.83,10.66869,4184.96321,17336.1,3.6,2,4.5,6.25,0.88,no_signal
79180677,12.6984,3435.0,0.314017,3.15,10.56713,4179.70681,4625.7,1.44,3,2.33,4.6,0.16,no_signal
469971791,12.1034,3334.0,0.314244,5.64,0.55156,4179.88389,563.3,0.72,39,0.81,1.43,-1.05,no_signal
230952145,12.696,3286.0,0.31472,4.27,12.41124,4179.60319,3215.2,1.44,2,1.95,0.0,0.08,no_signal
61732255,13.1287,3300.0,0.314967,4.8,6.50109,4185.03681,17886.2,0.72,2,4.6,1.55,0.42,no_signal
466201150,13.2608,3083.0,0.316211,20.45,0.76438,4179.99865,3637.8,3.6,30,2.08,0.37,5.41,eclipsing_binary_secondary
376669899,12.6744,3401.0,0.316489,5.29,5.51325,4182.84054,1906.1,1.44,4,1.51,1.48,0.49,no_signal
38806360,12.7295,3409.0,0.316535,5.94,5.45044,4181.21689,3320.6,0.72,4,1.99,0.13,1.3,no_signal
316832344,12.2814,3397.0,0.316707,5.98,0.99032,4179.57915,485.8,2.38,23,0.76,0.41,-0.14,no_signal
344369070,12.6561,3362.0,0.316789,4.87,10.33056,4180.24982,3660.5,0.72,3,2.09,0.96,0.34,no_signal
262531321,11.5677,3250.0,0.317125,4.76,4.01696,4181.88851,1027.0,0.72,6,1.11,0.96,-1.27,no_signal
119092252,13.5403,3264.0,0.317133,4.62,12.01185,4181.62419,9670.9,0.72,2,3.41,1.47,0.46,no_signal
319766043,12.5082,3429.0,0.317458,4.91,5.20574,4179.83044,2440.7,0.72,5,1.71,0.09,-1.47,no_signal
140431317,12.9094,3467.0,0.317803,5.91,1.68597,4180.95775,1150.4,1.44,12,1.18,1.23,-0.6,no_signal
79172371,12.6403,3321.0,0.318118,5.8,8.52614,4179.52184,3535.8,0.72,3,2.07,2.2,-2.19,no_signal
238831201,12.9742,2965.0,0.318299,28.75,0.53844,4180.19114,3036.9,3.6,42,1.92,1.17,-15.01,CANDIDATE
155991569,12.9269,3308.0,0.318463,6.81,2.5038,4180.89214,1916.1,0.72,10,1.52,0.52,-1.04,no_signal
118433984,13.2067,3383.0,0.31864,6.37,6.08014,4179.97384,5124.0,0.72,4,2.49,0.76,1.01,no_signal
234288627,10.2681,3386.0,0.318672,5.99,5.87888,4182.53874,692.9,0.72,4,0.92,0.64,-0.58,no_signal
